Code,Competency,NextCompetency,Title,Url
d1c1a1,Start me at the beginning,Consistently demonstrates professional behavior,Model Professional Behavior,https://www.teachingphysician.org/content/preparation/model-professional-behavior
d1c1a2,Consistently demonstrates professional behavior,Identifies that learners are forming professional identities,Students' Professional Identities,https://www.teachingphysician.org/content/preparation/students-professional-identities
d1c1a3,Identifies that learners are forming professional identities,Contributes to learners' professional identity formation through coaching,Contribute to Professional Identity Formation,https://www.teachingphysician.org/content/precepting-principles/contribute-to-professional-identity-formation
d1c1a4,Contributes to learners' professional identity formation through coaching,Promotes professional identity formation across the clinical team,Promote Professional Identity Across the Clinical Team,https://www.teachingphysician.org/content/precepting-principles/promote-team-professional-idenity
d1c1a5,Promotes professional identity formation across the clinical team,,,
d1c2a1,Start me at the beginning,Recognizes the importance of effective professional relationships,Cultivate Professional Relationships,https://www.teachingphysician.org/content/preparation/cultivate-professional-relationships
d1c2a2,Recognizes the importance of effective professional relationships,Helps learners identify areas of conflict in professional relationships,Identify Conflict,https://www.teachingphysician.org/content/professionalism/identify-conflict
d1c2a3,Helps learners identify areas of conflict in professional relationships,Uses inquiry to effectively manage conflict,Use Inquiry to Manage Conflict,https://www.teachingphysician.org/content/professionalism/inquiry-in-conflict-management
d1c2a4,Uses inquiry to effectively manage conflict,Coaches learners on strategies for effectively managing conflict,Coach Learners in Conflict Management Strategies,https://www.teachingphysician.org/content/professionalism/coaching-strategies-for-conflict-management
d1c2a5,Coaches learners on strategies for effectively managing conflict,,,
d1c3a1,Start me at the beginning,Recognizes the importance of professional boundaries,The Importance of Professional Boundaries,https://www.teachingphysician.org/content/preparation/importance-of-professional-boundaries
d1c3a2,Recognizes the importance of professional boundaries,Role models setting professional boundaries within clinical setting,Role Model Professional Boundaries,https://www.teachingphysician.org/content/professionalism/role-model-professional-boundaries
d1c3a3,Role models setting professional boundaries within clinical setting,Engages learners in discussions about professional boundaries,Discuss Professional Boundaries With Learners,https://www.teachingphysician.org/content/professionalism/discuss-professional-boundaries
